Type,Description
SERP,Sell SAP ERP Coud
SB1,Sell SAP Business One
SOC,Sell SAP Open Cloud
SHC,Sell Human Capital Management
SCX,Sell Customer Experience
ROP,Run On Premise
RCL,Run Cloud
BOP,Build On Premise
BCL,Build Cloud
